label,quadrant,block_no,blkAreaPolyGeometryWKT
"1/2","   1","2","MULTIPOLYGON(((2.539075 56.75,2.6666667 56.75,2.6666667 57,2.4179583 57,2.4585167 56.9166667,2.4988889 56.8333333,2.5 56.8310361,2.539075 56.75)))"
"1/3","   1","3","MULTIPOLYGON(((2.6666667 56.75,3 56.75,3 57,2.6666667 57,2.6666667 56.75)))"
"1/5","   1","5","MULTIPOLYGON(((2.6666667 56.5530583,2.6666667 56.75,2.539075 56.75,2.5790778 56.6666667,2.5833333 56.6577778,2.6133333 56.595,2.6281833 56.5833333,2.6666667 56.5530583)))"
"1/6","   1","6","MULTIPOLYGON(((2.7339278 56.5,3 56.5,3 56.75,2.6666667 56.75,2.6666667 56.5530583,2.7339278 56.5)))"
"1/9","   1","9","MULTIPOLYGON(((3 56.2882833,3 56.5,2.7339278 56.5,2.75 56.4872944,2.8333333 56.4212444,2.8390972 56.4166667,2.9166667 56.3549083,2.9436917 56.3333333,3 56.2882833)))"
"2/1","   2","1","MULTIPOLYGON(((3 56.75,3.3333333 56.75,3.3333333 57,3 57,3 56.75)))"
"2/2","   2","2","MULTIPOLYGON(((3.3333333 56.75,3.6666667 56.75,3.6666667 57,3.3333333 57,3.3333333 56.75)))"
"2/3","   2","3","MULTIPOLYGON(((3.6666667 56.75,4 56.75,4 57,3.6666667 57,3.6666667 56.75)))"
"2/4","   2","4","MULTIPOLYGON(((3 56.5,3.3333333 56.5,3.3333333 56.75,3 56.75,3 56.5)))"
"2/5","   2","5","MULTIPOLYGON(((3.3333333 56.5,3.6666667 56.5,3.6666667 56.75,3.3333333 56.75,3.3333333 56.5)))"
"2/6","   2","6","MULTIPOLYGON(((3.6666667 56.5,4 56.5,4 56.75,3.6666667 56.75,3.6666667 56.5)))"
"2/7","   2","7","MULTIPOLYGON(((3.047725 56.25,3.3333333 56.25,3.3333333 56.5,3 56.5,3 56.2882833,3.047725 56.25)))"
"2/8","   2","8","MULTIPOLYGON(((3.3333333 56.25,3.6666667 56.25,3.6666667 56.5,3.3333333 56.5,3.3333333 56.25)))"
"2/9","   2","9","MULTIPOLYGON(((3.6666667 56.25,3.8118639 56.25,3.8333333 56.2561639,3.9166667 56.2800306,4 56.3038139,4 56.5,3.6666667 56.5,3.6666667 56.25)))"
"2/10","   2","10","MULTIPOLYGON(((3.25 56.0866667,3.3333333 56.1111417,3.3333333 56.25,3.0477222 56.25,3.0833333 56.2213694,3.1511917 56.1666667,3.1666667 56.1541639,3.25 56.0866667)))"
"2/11","   2","11","MULTIPOLYGON(((3.3333333 56.1111417,3.4166667 56.1355278,3.5 56.1598278,3.5235028 56.1666667,3.5833333 56.1840417,3.6666667 56.2081694,3.6666667 56.25,3.3333333 56.25,3.3333333 56.1111417)))"
"2/12","   2","12","MULTIPOLYGON(((3.6666667 56.2081694,3.75 56.2322083,3.8118639 56.25,3.6666667 56.25,3.6666667 56.2081694)))"
"3/1","   3","1","MULTIPOLYGON(((4 56.75,4.3333333 56.75,4.3333333 57,4 57,4 56.75)))"
"3/2","   3","2","MULTIPOLYGON(((4.3333333 56.75,4.6666667 56.75,4.6666667 57,4.3333333 57,4.3333333 56.75)))"
"3/3","   3","3","MULTIPOLYGON(((4.6666667 56.75,5 56.75,5 57,4.6666667 57,4.6666667 56.75)))"
"3/4","   3","4","MULTIPOLYGON(((4 56.5,4.3333333 56.5,4.3333333 56.75,4 56.75,4 56.5)))"
"3/5","   3","5","MULTIPOLYGON(((4.3333333 56.5,4.6666667 56.5,4.6666667 56.75,4.3333333 56.75,4.3333333 56.5)))"
"3/6","   3","6","MULTIPOLYGON(((4.6666667 56.5,4.6991861 56.5,4.75 56.5140278,4.8333333 56.5369611,4.9166667 56.5598139,5 56.5825833,5 56.75,4.6666667 56.75,4.6666667 56.5)))"
"3/7","   3","7","MULTIPOLYGON(((4 56.3038139,4.0833333 56.3275111,4.1038583 56.3333333,4.1666667 56.3511222,4.25 56.3746472,4.3333333 56.3980889,4.3333333 56.5,4 56.5,4 56.3038139)))"
"3/8","   3","8","MULTIPOLYGON(((4.3333333 56.3980889,4.3995944 56.4166667,4.4166667 56.4214444,4.5 56.4447167,4.5833333 56.4679028,4.6666667 56.4910083,4.6666667 56.5,4.3333333 56.5,4.3333333 56.3980889)))"
"3/9","   3","9","MULTIPOLYGON(((4.6666667 56.4910083,4.6991861 56.5,4.6666667 56.5,4.6666667 56.4910083)))"
"4/1","   4","1","MULTIPOLYGON(((5 56.75,5.3333333 56.75,5.3333333 57,5 57,5 56.75)))"
"4/2","   4","2","MULTIPOLYGON(((5.3333333 56.75,5.5349306 56.75,5.5833333 56.7651028,5.6666667 56.7910306,5.6666667 57,5.3333333 57,5.3333333 56.75)))"
"4/3","   4","3","MULTIPOLYGON(((5.6666667 56.7910306,5.75 56.8168667,5.8032667 56.8333333,5.8333333 56.8426111,5.9166667 56.8682667,6 56.8938306,6 57,5.6666667 57,5.6666667 56.7910306)))"
"4/4","   4","4","MULTIPOLYGON(((5 56.5825833,5.0027528 56.5833333,5.0333333 56.5916667,5.0833333 56.6076,5.1666667 56.6340806,5.25 56.6604694,5.2696083 56.6666667,5.3333333 56.6867667,5.3333333 56.75,5 56.75,5 56.5825833)))"
"4/5","   4","5","MULTIPOLYGON(((5.3333333 56.6867667,5.4166667 56.7129694,5.5 56.7390833,5.5349306 56.75,5.3333333 56.75,5.3333333 56.6867667)))"
"5/1","   5","1","MULTIPOLYGON(((6 56.8938306,6.0746917 56.9166667,6.0833333 56.9193028,6.1666667 56.9446861,6.25 56.9699806,6.3333333 56.9951833,6.3333333 57,6 57,6 56.8938306)))"
"5/2","   5","2","MULTIPOLYGON(((6.3333333 56.9951833,6.3492917 57,6.3333333 57,6.3333333 56.9951833)))"
