dscName,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscRecoverableOe,dscDateOffResEstDisplay,dscNpdidDiscovery,dscReservesDateUpdated,DatesyncNPD
 1/9-1 Tommeliten Alpha,5F,5.88,12.78,0.45,0.00,19.52,31.12.2018,43850,,20.02.2019
 15/12-21 (Grevling),4A,2.13,0.00,0.00,0.00,2.13,31.12.2018,5490719,,20.02.2019
 15/12-21 (Grevling),4F,4.70,0.00,0.00,0.00,4.70,31.12.2018,5490719,,20.02.2019
 15/5-2 Eirin,5F,0.21,4.30,0.21,0.00,4.90,31.12.2018,43898,,20.02.2019
 16/1-12 (Rolvsnes),4F,4.94,1.29,0.38,0.00,6.96,31.12.2018,17196400,,20.02.2019
 16/1-14 (Apollo),7F,1.00,0.05,0.02,0.00,1.09,31.12.2018,18437181,,20.02.2019
 16/1-26 S,7F,0.18,0.14,0.02,0.00,0.36,31.12.2018,28245194,,20.02.2019
 16/1-29 S (Lille Prinsen),7F,2.20,0.00,0.00,0.00,2.20,31.12.2018,32017087,,20.02.2019
 16/2-3 (Ragnarock),7F,2.90,0.40,0.00,0.00,3.30,31.12.2018,4527337,,20.02.2019
 16/2-4,7F,1.45,0.18,0.68,0.00,2.93,31.12.2018,17237080,,20.02.2019
 16/2-5,7F,0.20,1.90,0.00,0.00,2.10,31.12.2018,5490457,,20.02.2019
 16/4-6 S (Luno II),4F,7.07,1.77,0.52,0.00,9.83,31.12.2018,23295901,18.02.2019,20.02.2019
 2/12-1 Mjølner,5F,2.55,1.09,0.00,0.00,3.64,31.12.2018,44006,,20.02.2019
 2/4-17 Tjalve,7F,0.59,0.84,0.00,0.00,1.42,31.12.2018,44066,,20.02.2019
 2/4-21 (King Lear),5F,6.52,9.16,0.00,0.00,15.68,31.12.2018,21669700,18.02.2019,20.02.2019
 2/5-3 (Sørøst Tor),5F,5.70,2.34,0.00,0.00,8.05,31.12.2018,44090,,20.02.2019
 24/6-1 (Peik),7F,0.55,1.96,0.00,0.00,2.51,31.12.2018,44174,,20.02.2019
 24/9-10 S (Caterpillar),7F,0.65,0.04,0.00,0.00,0.69,31.12.2018,20415286,18.02.2019,20.02.2019
 24/9-12 S (Frosk),3A,0.52,0.03,0.00,0.00,0.55,31.12.2018,31140456,,20.02.2019
 24/9-12 S (Frosk),5F,6.45,0.64,0.00,0.00,7.09,31.12.2018,31140456,,20.02.2019
 25/11-27 (F-struktur),4F,5.81,0.00,0.00,0.00,5.81,31.12.2018,23395692,18.02.2019,20.02.2019
 25/2-10 S (Frigg-GammaDelta),4F,10.73,0.61,0.07,0.00,11.47,31.12.2018,2429169,,20.02.2019
 25/2-18 S (Langfjellet),4F,4.13,0.78,0.09,0.00,5.08,31.12.2018,28245710,,20.02.2019
 25/2-5 Lille Frøy,4F,3.71,1.11,0.13,0.00,5.07,31.12.2018,44246,,20.02.2019
 25/4-2 (Trine),4F,3.07,0.07,0.00,0.00,3.14,31.12.2018,21076955,18.02.2019,20.02.2019
 25/5-9 (Trell),4F,2.05,0.05,0.00,0.00,2.10,31.12.2018,24567425,,20.02.2019
 25/8-4 (D-struktur),4F,20.15,0.00,0.00,0.00,20.15,31.12.2018,44324,,20.02.2019
 3/7-8 S (Trym Sør),5F,0.33,1.00,0.00,0.00,1.33,31.12.2018,23286464,18.02.2019,20.02.2019
 30/11-7 (Fulla),4F,0.99,8.38,0.98,0.00,11.23,31.12.2018,5490395,,20.02.2019
 30/11-8 S (Krafla),5F,0.81,0.03,0.08,0.00,1.00,31.12.2018,20460100,18.02.2019,20.02.2019
 30/11-8 S (Krafla),4F,13.89,15.79,2.32,0.00,34.10,31.12.2018,20460100,18.02.2019,20.02.2019
 30/11-8 S (Krafla),7F,0.33,0.37,0.07,0.00,0.84,31.12.2018,20460100,18.02.2019,20.02.2019
 30/5-3 S (Corvus),5F,0.44,5.49,0.00,0.00,5.94,31.12.2018,5490430,,20.02.2019
 31/7-1 (Brasse),4F,8.31,2.15,0.64,0.00,11.69,31.12.2018,28222384,,20.02.2019
 34/11-2 S (Nøkken),3F,0.06,0.12,0.00,0.00,0.18,31.12.2018,44648,,20.02.2019
 34/11-2 S (Nøkken),5F,1.51,3.54,0.00,0.00,5.05,31.12.2018,44648,,20.02.2019
 34/12-1 (Afrodite),5F,1.05,9.22,0.49,0.00,11.19,31.12.2018,4972705,,20.02.2019
 34/4-11 (Beta),5F,3.75,0.32,0.23,0.00,4.51,31.12.2018,17826500,,20.02.2019
 34/6-2 S (Garantiana),4F,10.07,0.39,0.00,0.00,10.46,31.12.2018,22506411,18.02.2019,20.02.2019
 35/10-2,7F,0.31,2.80,0.25,0.00,3.58,31.12.2018,44738,,20.02.2019
 35/11-18 (Syrah),7F,0.60,0.20,0.00,0.00,0.80,31.12.2018,27122993,,20.02.2019
 35/11-20 B (Beaujolais),7F,0.40,0.10,0.00,0.00,0.50,31.12.2018,28543133,,20.02.2019
 35/11-20 S (Orion),7F,0.40,0.10,0.10,0.00,0.69,31.12.2018,28543142,,20.02.2019
 35/12-2 (Grosbeak),7F,13.15,9.82,0.00,0.00,22.97,31.12.2018,5818175,,20.02.2019
