fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
ALBUSKJELL,ConocoPhillips Skandinavia AS,Shut down, 1/6-1,26.11.1972,North sea,PRODUCTION LICENSE,018,,20900,43437,239,2410696,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43437,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43437,28.04.2016,11.12.2018,20.02.2019
ALVE,Equinor Energy AS,Producing, 6507/3-1,26.10.1990,Norwegian sea,PRODUCTION LICENSE,159 B,Sandnessjøen,2819945,4444332,1533,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=4444332,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4444332,18.05.2018,18.05.2018,20.02.2019
ALVHEIM,Aker BP ASA,Producing, 24/6-2,08.07.1998,North sea,PRODUCTION LICENSE,203,,22436,2845712,3397,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=2845712,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2845712,06.10.2016,09.03.2018,20.02.2019
ATLA,Total E&P Norge AS,Producing, 25/5-7,23.10.2010,North sea,PRODUCTION LICENSE,102 C,,5467035,21106284,6423,2410708,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=21106284,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21106284,28.04.2016,05.05.2018,20.02.2019
BALDER,Vår Energi AS,Producing, 25/11-1,09.07.1967,North sea,PRODUCTION LICENSE,001,Dusavik,20756,43562,143,33360957,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43562,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43562,11.12.2018,11.12.2018,20.02.2019
BAUGE,Equinor Energy AS,Approved for production, 6407/8-6,20.10.2013,Norwegian sea,PRODUCTION LICENSE,348,Kristiansund,2987047,29446221,7265,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=29446221,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=29446221,18.05.2018,11.12.2018,20.02.2019
BLANE,Repsol Norge AS,Producing, 1/2-1,04.06.1989,North sea,BUSINESS ARRANGEMENT AREA,BLANE UNIT,,3437667,3437650,1382,27052812,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=3437650,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=3437650,15.01.2019,23.01.2019,20.02.2019
BRAGE,Wintershall Norge AS,Producing, 31/4-3,11.05.1980,North sea,BUSINESS ARRANGEMENT AREA,BRAGE UNIT,Mongstad,40432,43651,402,21666830,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43651,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43651,28.04.2016,11.12.2018,20.02.2019
BRYNHILD,Lundin Norway AS,Shut down, 7/7-2,25.04.1992,North sea,PRODUCTION LICENSE,148,,21996,21123063,1868,2767314,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=21123063,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21123063,15.01.2019,15.01.2019,20.02.2019
BYRDING,Equinor Energy AS,Producing, 35/11-13,28.05.2005,North sea,PRODUCTION LICENSE,090 B,Mongstad,3426781,28975067,5063,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=28975067,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=28975067,18.05.2018,14.09.2018,20.02.2019
BØYLA,Aker BP ASA,Producing, 24/9-9 S,07.10.2009,North sea,PRODUCTION LICENSE,340,,2986630,22492497,6222,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=22492497,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=22492497,06.10.2016,11.12.2018,20.02.2019
COD,ConocoPhillips Skandinavia AS,Shut down, 7/11-1,15.06.1968,North sea,PRODUCTION LICENSE,018,,20900,43785,149,2410696,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43785,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43785,28.04.2016,11.12.2018,20.02.2019
DRAUGEN,OKEA AS,Producing, 6407/9-1,07.09.1984,Norwegian sea,PRODUCTION LICENSE,093,Kristiansund,21548,43758,133,27432899,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43758,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43758,05.12.2018,08.12.2018,20.02.2019
