fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
ALBUSKJELL,7.35,15.53,0.99,0.00,24.76,0.00,0.00,0.00,0.00,0.00,31.12.2018,43437,20.02.2019
ALVE,2.32,9.15,1.42,0.00,14.17,0.38,2.68,0.36,0.00,3.74,31.12.2018,4444332,20.02.2019
ALVHEIM,50.34,10.34,0.00,0.00,60.68,10.74,5.13,0.00,0.00,15.87,31.12.2018,2845712,20.02.2019
ATLA,0.34,1.32,0.00,0.00,1.66,0.01,0.00,0.00,0.00,0.01,31.12.2018,21106284,20.02.2019
BALDER,83.73,1.96,0.00,0.00,85.69,14.64,0.03,0.00,0.00,14.67,31.12.2018,43562,20.02.2019
BAUGE,7.97,1.87,0.97,0.00,11.68,7.97,1.88,0.97,0.00,11.69,31.12.2018,29446221,20.02.2019
BLANE,0.90,0.00,0.00,0.00,0.90,0.12,0.00,0.00,0.00,0.12,31.12.2018,3437650,20.02.2019
BRAGE,62.42,4.62,1.48,0.00,69.85,3.59,0.75,0.23,0.00,4.78,31.12.2018,43651,20.02.2019
BRYNHILD,0.49,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,31.12.2018,21123063,20.02.2019
BYRDING,1.25,0.86,0.09,0.00,2.28,0.83,0.66,0.07,0.00,1.62,31.12.2018,28975067,20.02.2019
BØYLA,2.78,0.21,0.00,0.00,2.99,0.79,0.02,0.00,0.00,0.81,31.12.2018,22492497,20.02.2019
COD,2.88,7.28,0.52,0.00,11.15,0.00,0.00,0.00,0.00,0.00,31.12.2018,43785,20.02.2019
DRAUGEN,143.24,1.67,2.79,0.00,150.21,2.62,0.00,0.09,0.00,2.79,31.12.2018,43758,20.02.2019
DVALIN,0.00,17.93,0.24,0.40,18.79,0.00,17.93,0.24,0.40,18.79,31.12.2018,29393934,20.02.2019
EDDA,4.82,1.98,0.21,0.00,7.20,0.00,0.00,0.00,0.00,0.00,31.12.2018,43541,20.02.2019
EDVARD GRIEG,39.47,3.79,0.93,0.00,45.03,25.15,2.32,0.69,0.00,28.78,31.12.2018,21675433,20.02.2019
EKOFISK,551.12,157.97,15.97,0.00,739.43,73.42,11.01,1.37,0.00,87.03,31.12.2018,43506,20.02.2019
ELDFISK,137.45,43.94,4.81,0.00,190.53,23.04,2.63,0.38,0.00,26.39,31.12.2018,43527,20.02.2019
EMBLA,12.41,5.53,0.65,0.00,19.18,0.73,0.72,0.09,0.00,1.62,31.12.2018,43534,20.02.2019
ENOCH,0.36,0.00,0.00,0.00,0.36,0.03,0.00,0.00,0.00,0.03,31.12.2018,3437659,20.02.2019
FENJA,10.90,3.38,0.57,0.00,15.36,10.90,3.38,0.57,0.00,15.36,31.12.2018,31164879,20.02.2019
FLYNDRE,0.08,0.00,0.00,0.00,0.08,0.04,0.00,0.00,0.00,0.04,31.12.2018,24635035,20.02.2019
FRAM,42.26,17.52,1.74,0.00,63.09,7.31,11.33,1.17,0.00,20.86,31.12.2018,1578840,20.02.2019
FRAM H-NORD,0.70,0.00,0.00,0.00,0.70,0.09,0.00,0.00,0.00,0.09,31.12.2018,23410947,20.02.2019
