prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
001,1-A,North sea,ACTIVE,YES OR PARTLY,01.09.1965,01.03.2030,2145.855,100.779,PRODUCTION EXTENDED,20756,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20756,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=20756,11.12.2018,11.12.2018,20.02.2019
001 B,1-A,North sea,ACTIVE,NO,15.12.1999,31.12.2036,214.180,48.128,PRODUCTION EXTENDED,917266,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=917266,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=917266,08.12.2018,06.02.2019,20.02.2019
001 CS,1-A,North sea,ACTIVE,YES OR PARTLY,29.09.2017,01.03.2030,17.681,17.681,PRODUCTION,29852542,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=29852542,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=29852542,10.03.2018,10.03.2018,20.02.2019
001 P,1-A,North sea,INACTIVE,NO,19.01.1994,14.12.1999,214.180,0.000,,20764,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20764,,30.03.2017,30.03.2017,20.02.2019
002,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1977,2172.688,0.000,,20772,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20772,,10.03.2018,10.03.2018,20.02.2019
003,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1977,2218.308,0.000,,20780,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20780,,10.03.2018,10.03.2018,20.02.2019
004,1-A,North sea,INACTIVE,NO,01.09.1965,31.08.1971,970.291,0.000,,20788,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20788,,10.03.2018,10.03.2018,20.02.2019
005,1-A,North sea,INACTIVE,NO,01.09.1965,31.08.1971,1659.956,0.000,,20796,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20796,,10.03.2018,10.03.2018,20.02.2019
006,1-A,North sea,ACTIVE,NO,01.09.1965,31.12.2028,2278.556,37.960,PRODUCTION EXTENDED,20804,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=20804,24.06.2016,24.06.2016,20.02.2019
006 B,1-A,North sea,ACTIVE,NO,09.10.2000,31.12.2028,128.282,128.282,PRODUCTION,1333048,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333048,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=1333048,04.01.2018,09.01.2018,20.02.2019
006 C,1-A,North sea,ACTIVE,NO,09.10.2000,31.12.2028,678.000,93.197,PRODUCTION,1333089,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333089,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=1333089,30.03.2017,06.03.2018,20.02.2019
006 D,TFO2007,North sea,INACTIVE,NO,29.02.2008,29.08.2011,46.622,0.000,,4909688,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=4909688,,01.08.2016,07.09.2017,20.02.2019
006 E,TFO2017,North sea,ACTIVE,NO,02.03.2018,11.02.2028,3.798,3.798,PRODUCTION,30977683,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=30977683,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=30977683,22.03.2018,22.03.2018,20.02.2019
007,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1990,2153.548,0.000,,20812,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20812,,10.03.2018,10.03.2018,20.02.2019
008,1-A,North sea,INACTIVE,NO,01.09.1965,31.12.2002,2214.404,0.000,,20820,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20820,,29.04.2016,29.04.2016,20.02.2019
009,1-A,North sea,INACTIVE,NO,01.09.1965,01.01.1999,2233.446,0.000,,20828,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20828,,10.03.2018,10.03.2018,20.02.2019
010,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1979,2172.621,0.000,,20836,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20836,,10.03.2018,10.03.2018,20.02.2019
011,1-A,North sea,INACTIVE,NO,01.09.1965,31.12.1999,1681.660,0.000,,20844,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20844,,29.04.2016,29.04.2016,20.02.2019
012,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1971,1678.863,0.000,,20852,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20852,,10.03.2018,10.03.2018,20.02.2019
013,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1978,1667.530,0.000,,20860,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20860,,10.03.2018,10.03.2018,20.02.2019
