prlName,prlAreaPolyDateValidFrom,prlAreaPolyDateValidTo,prlAreaPolyNationCode,prlAreaPolyBlockName,prlAreaPolyStratigraphical,prlAreaPolyPolyNo,prlAreaPolyPolyArea,prlNpdidLicence,prlAreaDateUpdated,DatesyncNPD
001,29.09.2017,,NO,25/11,YES,1,83.098,20756,,20.02.2019
001,29.09.2017,,NO,25/11,YES,2,17.681,20756,,20.02.2019
001,29.09.2017,,NO,25/11,YES,3,0.000,20756,,20.02.2019
001,19.01.1994,29.09.2017,NO,25/11,YES,1,100.779,20756,03.11.2017,20.02.2019
001,01.09.1977,19.01.1994,NO,16/1,YES,1,214.180,20756,03.11.2017,20.02.2019
001,01.09.1977,19.01.1994,NO,25/11,YES,2,100.779,20756,03.11.2017,20.02.2019
001,01.09.1974,01.09.1977,NO,16/1,YES,1,315.856,20756,03.11.2017,20.02.2019
001,01.09.1974,01.09.1977,NO,16/2,YES,2,428.638,20756,03.11.2017,20.02.2019
001,01.09.1974,01.09.1977,NO,25/11,YES,3,418.433,20756,03.11.2017,20.02.2019
001,01.09.1971,01.09.1974,NO,16/1,YES,1,535.510,20756,03.11.2017,20.02.2019
001,01.09.1971,01.09.1974,NO,16/2,YES,2,535.510,20756,03.11.2017,20.02.2019
001,01.09.1971,01.09.1974,NO,25/11,YES,3,531.663,20756,03.11.2017,20.02.2019
001,01.09.1965,01.09.1971,NO,16/1,YES,1,535.510,20756,03.11.2017,20.02.2019
001,01.09.1965,01.09.1971,NO,16/2,YES,2,535.510,20756,03.11.2017,20.02.2019
001,01.09.1965,01.09.1971,NO,16/7,YES,3,543.172,20756,03.11.2017,20.02.2019
001,01.09.1965,01.09.1971,NO,25/11,YES,4,531.663,20756,03.11.2017,20.02.2019
001 B,17.12.2013,,NO,16/1,NO,1,48.128,917266,,20.02.2019
001 B,01.01.2000,17.12.2013,NO,16/1,NO,1,21.445,917266,,20.02.2019
001 B,01.01.2000,17.12.2013,NO,16/1,NO,2,73.060,917266,,20.02.2019
001 B,15.12.1999,01.01.2000,NO,16/1,NO,1,214.180,917266,,20.02.2019
001 CS,29.09.2017,,NO,25/11,YES,1,17.681,29852542,,20.02.2019
001 P,19.01.1994,14.12.1999,NO,16/1,NO,1,214.180,20764,,20.02.2019
002,01.09.1971,01.09.1977,NO,17/8,NO,1,361.690,20772,,20.02.2019
002,01.09.1971,01.09.1977,NO,17/9,NO,2,361.690,20772,,20.02.2019
002,01.09.1971,01.09.1977,NO,18/7,NO,3,361.690,20772,,20.02.2019
002,01.09.1965,01.09.1971,NO,16/9,NO,1,543.172,20772,,20.02.2019
002,01.09.1965,01.09.1971,NO,17/8,NO,2,543.172,20772,,20.02.2019
002,01.09.1965,01.09.1971,NO,17/9,NO,3,543.172,20772,,20.02.2019
002,01.09.1965,01.09.1971,NO,18/7,NO,4,543.172,20772,,20.02.2019
003,01.09.1971,01.09.1977,NO,8/2,NO,1,257.508,20780,,20.02.2019
003,01.09.1971,01.09.1977,NO,8/3,NO,2,550.790,20780,,20.02.2019
003,01.09.1965,01.09.1971,NO,8/2,NO,1,550.790,20780,,20.02.2019
003,01.09.1965,01.09.1971,NO,8/3,NO,2,550.790,20780,,20.02.2019
003,01.09.1965,01.09.1971,NO,9/7,NO,3,558.364,20780,,20.02.2019
003,01.09.1965,01.09.1971,NO,9/8,NO,4,558.364,20780,,20.02.2019
004,01.09.1974,01.09.1977,NO,7/1,NO,1,180.396,20788,,20.02.2019
004,01.09.1974,01.09.1977,NO,7/4,NO,2,246.518,20788,,20.02.2019
004,01.09.1971,01.09.1974,NO,7/1,NO,1,437.266,20788,,20.02.2019
004,01.09.1971,01.09.1974,NO,7/4,NO,2,246.518,20788,,20.02.2019
004,01.09.1965,31.08.1971,NO,6/3,NO,1,56.721,20788,,20.02.2019
004,01.09.1965,31.08.1971,NO,7/1,NO,2,538.067,20788,,20.02.2019
004,01.09.1965,31.08.1971,NO,7/4,NO,3,375.503,20788,,20.02.2019
005,01.09.1978,01.09.1982,NO,7/3,NO,1,168.876,20796,,20.02.2019
005,01.09.1974,01.09.1978,NO,7/3,NO,1,332.211,20796,,20.02.2019
005,01.09.1974,01.09.1978,NO,7/6,NO,2,162.580,20796,,20.02.2019
005,01.09.1974,01.09.1978,NO,8/4,NO,3,306.405,20796,,20.02.2019
005,01.09.1971,01.09.1974,NO,7/3,NO,1,433.055,20796,,20.02.2019
005,01.09.1971,01.09.1974,NO,7/6,NO,2,384.817,20796,,20.02.2019
005,01.09.1971,01.09.1974,NO,8/4,NO,3,404.552,20796,,20.02.2019
005,01.09.1965,31.08.1971,NO,7/3,NO,1,550.790,20796,,20.02.2019
005,01.09.1965,31.08.1971,NO,7/6,NO,2,554.583,20796,,20.02.2019
005,01.09.1965,31.08.1971,NO,8/4,NO,3,554.583,20796,,20.02.2019
006,09.10.2000,,NO,2/5,NO,1,37.960,20804,,20.02.2019
006,01.01.1999,09.10.2000,NO,2/5,NO,1,385.727,20804,,20.02.2019
006,01.01.1999,09.10.2000,NO,2/8,NO,2,458.611,20804,,20.02.2019
006,01.01.1996,01.01.1999,NO,2/5,NO,1,385.727,20804,,20.02.2019
006,01.01.1996,01.01.1999,NO,2/8,NO,2,458.611,20804,,20.02.2019
006,01.01.1996,01.01.1999,NO,3/4,NO,3,72.124,20804,,20.02.2019
006,01.09.1974,31.12.1995,NO,2/5,NO,1,385.727,20804,,20.02.2019
006,01.09.1974,31.12.1995,NO,2/8,NO,2,458.611,20804,,20.02.2019
