ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,datesyncNPD
001,Vår Energi AS,100.00000,20756,33360957,11.12.2018,20.02.2019
001 B,Aker BP ASA,35.00000,917266,28544099,06.10.2016,20.02.2019
001 B,Equinor Energy AS,50.00000,917266,32011216,17.05.2018,20.02.2019
001 B,Spirit Energy Norway AS,15.00000,917266,33342085,06.12.2018,20.02.2019
001 CS,ExxonMobil Exploration and Production Norway AS,100.00000,29852542,2835212,,20.02.2019
006,Total E&P Norge AS,100.00000,20804,2410708,,20.02.2019
006 B,Pandion Energy AS,10.00000,1333048,29028767,,20.02.2019
006 B,Aker BP ASA,90.00000,1333048,28544099,29.12.2017,20.02.2019
006 C,Aker BP ASA,15.00000,1333089,28544099,06.10.2016,20.02.2019
006 C,Faroe Petroleum Norge AS,85.00000,1333089,4062883,07.01.2016,20.02.2019
006 E,Aker BP ASA,15.00000,30977683,28544099,,20.02.2019
006 E,Faroe Petroleum Norge AS,85.00000,30977683,4062883,,20.02.2019
018,ConocoPhillips Skandinavia AS,35.11200,20900,2410696,,20.02.2019
018,Equinor Energy AS,7.60400,20900,32011216,17.05.2018,20.02.2019
018,Vår Energi AS,12.38800,20900,33360957,11.12.2018,20.02.2019
018,Total E&P Norge AS,39.89600,20900,2410708,,20.02.2019
018,Petoro AS,5.00000,20900,1626839,,20.02.2019
018 B,Petoro AS,5.00000,20908,1626839,,20.02.2019
018 B,ConocoPhillips Skandinavia AS,35.11200,20908,2410696,,20.02.2019
018 B,Equinor Energy AS,7.60400,20908,32011216,17.05.2018,20.02.2019
018 B,Vår Energi AS,12.38800,20908,33360957,11.12.2018,20.02.2019
018 B,Total E&P Norge AS,39.89600,20908,2410708,,20.02.2019
018 C,Total E&P Norge AS,88.34600,2246113,2410708,23.05.2018,20.02.2019
018 C,Petrolia NOCO AS,11.65400,2246113,28518657,04.12.2018,20.02.2019
019,Faroe Petroleum Norge AS,20.00000,20916,4062883,07.12.2016,20.02.2019
019,Aker BP ASA,80.00000,20916,28544099,,20.02.2019
019 B,KUFPEC Norway AS,5.00000,20924,23750622,07.04.2017,20.02.2019
019 B,Repsol Norge AS,61.00000,20924,27052812,08.10.2015,20.02.2019
019 B,INEOS E&P Norge AS,34.00000,20924,29805656,11.10.2017,20.02.2019
019 C,Aker BP ASA,80.00000,47992,28544099,16.10.2018,20.02.2019
019 C,MOL Norge AS,20.00000,47992,26464449,16.10.2018,20.02.2019
019 E,Faroe Petroleum Norge AS,20.00000,30978084,4062883,,20.02.2019
019 E,Aker BP ASA,80.00000,30978084,28544099,,20.02.2019
025,Repsol Norge AS,15.00000,34512,27052812,,20.02.2019
025,OMV (Norge) AS,24.00000,34512,4460594,,20.02.2019
025,Neptune Energy Norge AS,25.00000,34512,31123361,,20.02.2019
025,Equinor Energy AS,36.00000,34512,32011216,17.05.2018,20.02.2019
026,Aker BP ASA,92.13000,20980,28544099,04.12.2018,20.02.2019
026,LOTOS Exploration and Production Norge AS,7.87000,20980,5064434,07.04.2017,20.02.2019
026 B,LOTOS Exploration and Production Norge AS,9.74000,23433796,5064434,07.04.2017,20.02.2019
026 B,Aker BP ASA,90.26000,23433796,28544099,21.12.2016,20.02.2019
027,Vår Energi AS,100.00000,20988,33360957,11.12.2018,20.02.2019
027 B,Vår Energi AS,100.00000,917344,33360957,11.12.2018,20.02.2019
027 C,Vår Energi AS,100.00000,1333301,33360957,11.12.2018,20.02.2019
027 D,Aker BP ASA,100.00000,4943160,28544099,06.10.2016,20.02.2019
027 FS,ExxonMobil Exploration and Production Norway AS,100.00000,29852666,2835212,,20.02.2019
027 GS,Vår Energi AS,100.00000,31166668,33360957,11.12.2018,20.02.2019
028,Vår Energi AS,100.00000,21004,33360957,11.12.2018,20.02.2019
028 B,Aker BP ASA,35.00000,917484,28544099,06.10.2016,20.02.2019
028 B,Equinor Energy AS,50.00000,917484,32011216,17.05.2018,20.02.2019
028 B,Spirit Energy Norway AS,15.00000,917484,33342085,06.12.2018,20.02.2019
028 C,Petoro AS,30.00000,1333344,1626839,,20.02.2019
028 C,ExxonMobil Exploration and Production Norway AS,13.00000,1333344,2835212,30.10.2015,20.02.2019
028 C,Equinor Energy AS,57.00000,1333344,32011216,17.05.2018,20.02.2019
028 S,Vår Energi AS,100.00000,18054740,33360957,11.12.2018,20.02.2019
029,ExxonMobil Exploration and Production Norway AS,85.00000,21020,2835212,01.01.2016,20.02.2019
029,LOTOS Exploration and Production Norge AS,15.00000,21020,5064434,07.04.2017,20.02.2019
029 B,KUFPEC Norway AS,30.00000,1626782,23750622,07.04.2017,20.02.2019
029 B,Aker BP ASA,20.00000,1626782,28544099,06.10.2016,20.02.2019
029 B,Equinor Energy AS,50.00000,1626782,32011216,17.05.2018,20.02.2019
029 C,PGNiG Upstream Norway AS,29.63000,22493034,29394105,08.04.2017,20.02.2019
029 C,KUFPEC Norway AS,70.37000,22493034,23750622,01.12.2017,20.02.2019
033,Aker BP ASA,90.00000,21052,28544099,29.12.2017,20.02.2019
033,Pandion Energy AS,10.00000,21052,29028767,,20.02.2019
033 B,Aker BP ASA,90.00000,1622353,28544099,29.12.2017,20.02.2019
033 B,Pandion Energy AS,10.00000,1622353,29028767,,20.02.2019
034,Total E&P Norge AS,10.00000,21060,2410708,,20.02.2019
034,Petoro AS,40.00000,21060,1626839,,20.02.2019
034,Equinor Energy AS,50.00000,21060,32011216,17.05.2018,20.02.2019
035,Equinor Energy AS,50.00000,21068,32011216,17.05.2018,20.02.2019
035,Aker BP ASA,50.00000,21068,28544099,06.10.2016,20.02.2019
035 C,Aker BP ASA,50.00000,21559372,28544099,06.10.2016,20.02.2019
035 C,Equinor Energy AS,50.00000,21559372,32011216,17.05.2018,20.02.2019
036,Spirit Energy Norway AS,50.00000,21076,33342085,06.12.2018,20.02.2019
036,PGNiG Upstream Norway AS,24.24300,21076,29394105,08.04.2017,20.02.2019
036,LOTOS Exploration and Production Norge AS,25.75700,21076,5064434,07.04.2017,20.02.2019
036 BS,LOTOS Exploration and Production Norge AS,5.00000,2473189,5064434,07.04.2017,20.02.2019
036 BS,Total E&P Norge AS,16.75900,2473189,2410708,,20.02.2019
036 BS,Petoro AS,20.00000,2473189,1626839,,20.02.2019
036 BS,Spirit Energy Norway AS,28.79800,2473189,33342085,06.12.2018,20.02.2019
036 BS,Equinor Energy AS,29.44300,2473189,32011216,17.05.2018,20.02.2019
036 C,ConocoPhillips Skandinavia AS,20.00000,2473241,2410696,,20.02.2019
036 C,Aker BP ASA,65.00000,2473241,28544099,06.10.2016,20.02.2019
036 C,Lundin Norway AS,15.00000,2473241,2767314,,20.02.2019
036 D,PGNiG Upstream Norway AS,24.24300,5081703,29394105,08.04.2017,20.02.2019
036 D,Equinor Energy AS,28.85300,5081703,32011216,17.05.2018,20.02.2019
036 D,Aker BP ASA,46.90400,5081703,28544099,06.10.2016,20.02.2019
036 E,LOTOS Exploration and Production Norge AS,16.00000,29468067,5064434,13.07.2017,20.02.2019
036 E,Aker BP ASA,64.00000,29468067,28544099,04.12.2018,20.02.2019
036 E,Petoro AS,20.00000,29468067,1626839,13.07.2017,20.02.2019
037,ExxonMobil Exploration and Production Norway AS,25.00000,21084,2835212,30.10.2015,20.02.2019
