prlName,prlTaskName,prlTaskCategory,prlTaskTypeNo,prlTaskTypeEn,prlTaskStatusNo,prlTaskStatusEn,prlTaskExpiryDate,wlbName,prlDateValidTo,prlLicensingActivityName,cmpLongName,cmpNpdidCompany,prlNpdidLicence,prlTaskID,prlTaskRefID,prlTaskDateUpdated,datesyncNPD
006 D,Geologi- og geofysikk studier,WORKOBLIGATION,Geologi- og geofysikkstudier,Study of geology and geophysics,Godkjent,Approved,28.02.2011,,29.08.2011,TFO2007,Lundin Norway AS,2767314,4909688,4944110,,,20.02.2019
006 D,Fast brønn - 1 av 1,WORKOBLIGATION,Boring,Drilling,Godkjent,Approved,28.02.2011,2/5-14 S,29.08.2011,TFO2007,Lundin Norway AS,2767314,4909688,4944112,,,20.02.2019
006 D,Beslutte utbyggingsplan,DECISION,(PUD) Beslutning om å utarbeide ein utbyggingsplan,(PDO) Decision to prepare a plan for development,Frafalt,Dropped,29.08.2011,,29.08.2011,TFO2007,Lundin Norway AS,2767314,4909688,4944113,,,20.02.2019
006 D,Sende inn utbyggingsplan,DECISION,(PUD) Innlevering av utbyggingsplan,(PDO) Submit plan for development,Frafalt,Dropped,29.02.2012,,29.08.2011,TFO2007,Lundin Norway AS,2767314,4909688,4944114,,,20.02.2019
006 D,Initiell periode,DECISION,Beslutte overgang til forlengelsesperioden,Decision to enter extension period,Frafalt,Dropped,29.02.2012,,29.08.2011,TFO2007,Lundin Norway AS,2767314,4909688,4944116,,,20.02.2019
025 B,G & G studier,WORKOBLIGATION,Geologi- og geofysikkstudier,Study of geology and geophysics,Godkjent,Approved,06.02.2017,,06.02.2017,TFO2014,Statoil Petroleum AS,17237817,26216467,26216570,,,20.02.2019
025 B,Borebeslutning,DECISION,Beslutning om boring,Decision to drill,Skal ikke bores,Not to be drilled,06.02.2017,,06.02.2017,TFO2014,Statoil Petroleum AS,17237817,26216467,26216571,,,20.02.2019
025 B,Tilbakeleveringsrapport,WORKOBLIGATION,Tilbakeleveringsrapport,Relinquishment report,Godkjent,Approved,06.06.2017,,06.02.2017,TFO2014,Statoil Petroleum AS,17237817,26216467,26216575,,,20.02.2019
025 B,Beslutte konkretisering,DECISION,(BoK) Beslutning om konkretisering,(BoK) Decision to concretize,Frafalt,Dropped,06.02.2019,,06.02.2017,TFO2014,Statoil Petroleum AS,17237817,26216467,26216572,,,20.02.2019
025 B,Bore letebrønn,WORKOBLIGATION,Boring av letebrønn,Drill exploration well,Skal ikke bores,Not to be drilled,06.02.2019,,06.02.2017,TFO2014,Statoil Petroleum AS,17237817,26216467,26217261,26216571,,20.02.2019
