wlbWellboreName,wlbEntryDate,wlbCompletionDate,wlbDrillingOperator,wlbProductionLicence,wlbDrillingFacility,wlbPurpose,wlbContent,wlbReentry,wlbStatus,wlbAgeAtTd,wlbAgeWithHc1,wlbNpdidWellbore,datesyncNPD
2/11-12 A,13.02.2019,,Aker BP ASA,033 ,MAERSK INTERCEPTOR,WILDCAT,,NO,DRILLING,                    ,,8640,20.02.2019
34/8-18 S,09.02.2019,,Equinor Energy AS,120 ,VISUND,WILDCAT,,NO,DRILLING,                    ,,8607,20.02.2019
35/4-2,21.01.2019,16.02.2019,Wellesley Petroleum AS,931 ,TRANSOCEAN ARCTIC,WILDCAT,DRY,NO,P&A,PLIOCENE            ,,8633,20.02.2019
24/9-14 S,19.01.2019,,Aker BP ASA,869 ,SCARABEO 8,WILDCAT,,NO,DRILLING,                    ,,8621,20.02.2019
2/11-12 S,10.01.2019,12.02.2019,Aker BP ASA,033 ,MAERSK INTERCEPTOR,APPRAISAL,,NO,PLUGGED,                    ,,8639,20.02.2019
7132/2-2,06.01.2019,,Equinor Energy AS,857 ,WEST HERCULES,WILDCAT,,NO,DRILLING,                    ,,8638,20.02.2019
7121/1-2 S,06.01.2019,,Lundin Norway AS,767 ,LEIV EIRIKSSON,WILDCAT,,NO,DRILLING,                    ,,8608,20.02.2019
7132/2-1,01.01.2019,09.02.2019,Equinor Energy AS,857 ,WEST HERCULES,WILDCAT,DRY,NO,P&A,LATE TRIASSIC       ,,8629,20.02.2019
31/7-3 A,17.12.2018,18.01.2019,Faroe Petroleum Norge AS,740 ,TRANSOCEAN ARCTIC,APPRAISAL,OIL/GAS,NO,P&A,MIDDLE JURASSIC     ,LATE JURASSIC,8644,20.02.2019
35/11-22 S,12.12.2018,02.02.2019,Equinor Energy AS,248 C,DEEPSEA BERGEN,WILDCAT,OIL,NO,P&A,JURASSIC            ,JURASSIC,8627,20.02.2019
6706/6-2 S,04.12.2018,,Wintershall Norge AS,847 ,TRANSOCEAN SPITSBERGEN,WILDCAT,DRY,NO,DRILLING,LATE CRETACEOUS     ,,8580,20.02.2019
8/10-7 S,04.12.2018,04.01.2019,Spirit Energy Norway AS,405 ,MAERSK INTERCEPTOR,WILDCAT,DRY,NO,P&A,PERMIAN             ,,8619,20.02.2019
6406/6-6 A,27.11.2018,05.01.2019,Total E&P Norge AS,255 B,SCARABEO 8,APPRAISAL,NOT AVAILABLE,NO,P&A,EARLY JURASSIC      ,,8623,20.02.2019
2/6-6 S,13.11.2018,18.01.2019,MOL Norge AS,860 ,ROWAN VIKING,WILDCAT,DRY,NO,P&A,PERMIAN             ,,8560,20.02.2019
6406/2-9 S,03.10.2018,15.01.2019,Equinor Energy AS,199 ,WEST PHOENIX,WILDCAT,GAS/CONDENSATE,NO,P&A,EARLY JURASSIC      ,JURASSIC,8562,20.02.2019

