wlbnpdidwellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
4606,"35/11-A-11","35/11-A-11 H","FRAM","090","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","DEEPSEA DELTA","FRAM A1",2002-08-05 00:00:00+02,2002-11-13 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",357.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4606","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4606","NO","POINT(3.516369 61.084786)"
4270,"6506/12-S-4","6506/12-S-4 AH","ÅSGARD","094","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","TRANSOCEAN WINNER","ÅSGARD S",2001-04-14 00:00:00+02,2001-04-27 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",304.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4270","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4270","NO","POINT(6.945967 65.016067)"
8608,"7121/1-2","7121/1-2 S",,"767 ","EXPLORATION","Lundin Norway AS","NO","LEIV EIRIKSSON",,2019-01-06 00:00:00+01,,,"DRILLING",80,"WILDCAT",315.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8608","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=8608","NO","POINT(21.125147 71.794)"
2802,"34/7-I-3","34/7-I-3 AH","TORDIS","089","DEVELOPMENT","Saga Petroleum ASA","NO","SCARABEO 5","34/7-I-3 H TORDIS I-3",1996-04-27 00:00:00+02,1996-07-01 00:00:00+02,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",200.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2802","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=2802","NO","POINT(2.117114 61.276178)"
4621,"6407/5-B-3","6407/5-B-3 H","MIKKEL","121","DEVELOPMENT","Statoil ASA (old)","NO","TRANSOCEAN SEARCHER","MIKKEL B",2002-10-16 00:00:00+02,2002-11-09 00:00:00+01,"GAS","ONLINE/OPERATIONAL",90,"PRODUCTION",228.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4621","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4621","NO","POINT(7.663525 64.647119)"
4305,"34/7-P-11","34/7-P-11 A","SNORRE","089","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","SNORRE A","SNORRE A",2001-04-26 00:00:00+02,2001-05-10 00:00:00+02,"WATER","ONLINE/OPERATIONAL",173,"INJECTION",309.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4305","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4305","NO","POINT(2.143486 61.449189)"
8658,"25/1-13","25/1-13",,"871 ","EXPLORATION","Wellesley Petroleum AS","NO","TRANSOCEAN ARCTIC",,,,,,80,"WILDCAT",109.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8658","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=8658","NO","POINT(2.276956 59.820961)"
4592,"6507/7-A-42","6507/7-A-42 A","HEIDRUN","095","DEVELOPMENT","Statoil ASA (old)","NO","HEIDRUN","HEIDRUN",2002-09-12 00:00:00+02,2002-09-19 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",345.600000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4592","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4592","NO","POINT(7.317444 65.325681)"
3247,"31/2-P-41","31/2-P-41","TROLL","054","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","POLAR PIONEER","TROLL P2",1997-10-30 00:00:00+01,1997-11-14 00:00:00+01,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",338.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3247","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3247","NO","POINT(3.52265 60.886517)"
1061,"2/8-A-28","2/8-A-28","VALHALL","006","DEVELOPMENT","Amoco Norway Oil Company","NO","VALHALL","VALHALL DP",1992-07-02 00:00:00+02,1992-09-19 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1061","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1061","NO","POINT(3.395531 56.278028)"
1352,"34/10-A-19","34/10-A-19","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS A","GULLFAKS A",1988-11-05 00:00:00+01,1988-12-04 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1352","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1352","NO","POINT(2.189719 61.176081)"
